"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title"
1,"FALSE","3","male",22,1,0,7.25,"S","Mr"
2,"TRUE","1","female",38,1,0,71.2833,"C","Mrs"
3,"TRUE","3","female",26,0,0,7.925,"S","Miss"
4,"TRUE","1","female",35,1,0,53.1,"S","Mrs"
5,"FALSE","3","male",35,0,0,8.05,"S","Mr"
6,"FALSE","3","male",32.3680904522613,0,0,8.4583,"Q","Mr"
7,"FALSE","1","male",54,0,0,51.8625,"S","Mr"
8,"FALSE","3","male",2,3,1,21.075,"S","Master"
9,"TRUE","3","female",27,0,2,11.1333,"S","Mrs"
10,"TRUE","2","female",14,1,0,30.0708,"C","Mrs"
11,"TRUE","3","female",4,1,1,16.7,"S","Miss"
12,"TRUE","1","female",58,0,0,26.55,"S","Miss"
13,"FALSE","3","male",20,0,0,8.05,"S","Mr"
14,"FALSE","3","male",39,1,5,31.275,"S","Mr"
15,"FALSE","3","female",14,0,0,7.8542,"S","Miss"
16,"TRUE","2","female",55,0,0,16,"S","Mrs"
17,"FALSE","3","male",2,4,1,29.125,"Q","Master"
18,"TRUE","2","male",32.3680904522613,0,0,13,"S","Mr"
19,"FALSE","3","female",31,1,0,18,"S","Mrs"
20,"TRUE","3","female",35.6542056074766,0,0,7.225,"C","Mrs"
21,"FALSE","2","male",35,0,0,26,"S","Mr"
22,"TRUE","2","male",34,0,0,13,"S","Mr"
23,"TRUE","3","female",15,0,0,8.0292,"Q","Miss"
24,"TRUE","1","male",28,0,0,35.5,"S","Mr"
25,"FALSE","3","female",8,3,1,21.075,"S","Miss"
26,"TRUE","3","female",38,1,5,31.3875,"S","Mrs"
27,"FALSE","3","male",32.3680904522613,0,0,7.225,"C","Mr"
28,"FALSE","1","male",19,3,2,263,"S","Mr"
29,"TRUE","3","female",21.6620689655172,0,0,7.8792,"Q","Miss"
30,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
31,"FALSE","1","male",40,0,0,27.7208,"C","Mr"
32,"TRUE","1","female",35.6542056074766,1,0,146.5208,"C","Mrs"
33,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
34,"FALSE","2","male",66,0,0,10.5,"S","Mr"
35,"FALSE","1","male",28,1,0,82.1708,"C","Mr"
36,"FALSE","1","male",42,1,0,52,"S","Mr"
37,"TRUE","3","male",32.3680904522613,0,0,7.2292,"C","Mr"
38,"FALSE","3","male",21,0,0,8.05,"S","Mr"
39,"FALSE","3","female",18,2,0,18,"S","Miss"
40,"TRUE","3","female",14,1,0,11.2417,"C","Miss"
41,"FALSE","3","female",40,1,0,9.475,"S","Mrs"
42,"FALSE","2","female",27,1,0,21,"S","Mrs"
43,"FALSE","3","male",32.3680904522613,0,0,7.8958,"C","Mr"
44,"TRUE","2","female",3,1,2,41.5792,"C","Miss"
45,"TRUE","3","female",19,0,0,7.8792,"Q","Miss"
46,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
47,"FALSE","3","male",32.3680904522613,1,0,15.5,"Q","Mr"
48,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
49,"FALSE","3","male",32.3680904522613,2,0,21.6792,"C","Mr"
50,"FALSE","3","female",18,1,0,17.8,"S","Mrs"
51,"FALSE","3","male",7,4,1,39.6875,"S","Master"
52,"FALSE","3","male",21,0,0,7.8,"S","Mr"
53,"TRUE","1","female",49,1,0,76.7292,"C","Mrs"
54,"TRUE","2","female",29,1,0,26,"S","Mrs"
55,"FALSE","1","male",65,0,1,61.9792,"C","Mr"
56,"TRUE","1","male",32.3680904522613,0,0,35.5,"S","Mr"
57,"TRUE","2","female",21,0,0,10.5,"S","Miss"
58,"FALSE","3","male",28.5,0,0,7.2292,"C","Mr"
59,"TRUE","2","female",5,1,2,27.75,"S","Miss"
60,"FALSE","3","male",11,5,2,46.9,"S","Master"
61,"FALSE","3","male",22,0,0,7.2292,"C","Mr"
63,"FALSE","1","male",45,1,0,83.475,"S","Mr"
64,"FALSE","3","male",4,3,2,27.9,"S","Master"
65,"FALSE","1","male",32.3680904522613,0,0,27.7208,"C","Mr"
66,"TRUE","3","male",4.57416666666667,1,1,15.2458,"C","Master"
67,"TRUE","2","female",29,0,0,10.5,"S","Mrs"
68,"FALSE","3","male",19,0,0,8.1583,"S","Mr"
69,"TRUE","3","female",17,0,2,7.925,"S","Miss"
70,"FALSE","3","male",26,2,0,8.6625,"S","Mr"
71,"FALSE","2","male",32,0,0,10.5,"S","Mr"
72,"FALSE","3","female",16,5,2,46.9,"S","Miss"
73,"FALSE","2","male",21,0,0,73.5,"S","Mr"
74,"FALSE","3","male",26,1,0,14.4542,"C","Mr"
75,"TRUE","3","male",32,0,0,56.4958,"S","Mr"
76,"FALSE","3","male",25,0,0,7.65,"S","Mr"
77,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
78,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
79,"TRUE","2","male",0.83,0,2,29,"S","Master"
80,"TRUE","3","female",30,0,0,12.475,"S","Miss"
81,"FALSE","3","male",22,0,0,9,"S","Mr"
82,"TRUE","3","male",29,0,0,9.5,"S","Mr"
83,"TRUE","3","female",21.6620689655172,0,0,7.7875,"Q","Miss"
84,"FALSE","1","male",28,0,0,47.1,"S","Mr"
85,"TRUE","2","female",17,0,0,10.5,"S","Miss"
86,"TRUE","3","female",33,3,0,15.85,"S","Mrs"
87,"FALSE","3","male",16,1,3,34.375,"S","Mr"
88,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
89,"TRUE","1","female",23,3,2,263,"S","Miss"
90,"FALSE","3","male",24,0,0,8.05,"S","Mr"
91,"FALSE","3","male",29,0,0,8.05,"S","Mr"
92,"FALSE","3","male",20,0,0,7.8542,"S","Mr"
93,"FALSE","1","male",46,1,0,61.175,"S","Mr"
94,"FALSE","3","male",26,1,2,20.575,"S","Mr"
95,"FALSE","3","male",59,0,0,7.25,"S","Mr"
96,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
97,"FALSE","1","male",71,0,0,34.6542,"C","Mr"
98,"TRUE","1","male",23,0,1,63.3583,"C","Mr"
99,"TRUE","2","female",34,0,1,23,"S","Mrs"
100,"FALSE","2","male",34,1,0,26,"S","Mr"
101,"FALSE","3","female",28,0,0,7.8958,"S","Miss"
102,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
103,"FALSE","1","male",21,0,1,77.2875,"S","Mr"
104,"FALSE","3","male",33,0,0,8.6542,"S","Mr"
105,"FALSE","3","male",37,2,0,7.925,"S","Mr"
106,"FALSE","3","male",28,0,0,7.8958,"S","Mr"
107,"TRUE","3","female",21,0,0,7.65,"S","Miss"
108,"TRUE","3","male",32.3680904522613,0,0,7.775,"S","Mr"
109,"FALSE","3","male",38,0,0,7.8958,"S","Mr"
110,"TRUE","3","female",21.6620689655172,1,0,24.15,"Q","Miss"
111,"FALSE","1","male",47,0,0,52,"S","Mr"
112,"FALSE","3","female",14.5,1,0,14.4542,"C","Miss"
113,"FALSE","3","male",22,0,0,8.05,"S","Mr"
114,"FALSE","3","female",20,1,0,9.825,"S","Miss"
115,"FALSE","3","female",17,0,0,14.4583,"C","Miss"
116,"FALSE","3","male",21,0,0,7.925,"S","Mr"
117,"FALSE","3","male",70.5,0,0,7.75,"Q","Mr"
118,"FALSE","2","male",29,1,0,21,"S","Mr"
119,"FALSE","1","male",24,0,1,247.5208,"C","Mr"
120,"FALSE","3","female",2,4,2,31.275,"S","Miss"
121,"FALSE","2","male",21,2,0,73.5,"S","Mr"
122,"FALSE","3","male",32.3680904522613,0,0,8.05,"S","Mr"
123,"FALSE","2","male",32.5,1,0,30.0708,"C","Mr"
124,"TRUE","2","female",32.5,0,0,13,"S","Miss"
125,"FALSE","1","male",54,0,1,77.2875,"S","Mr"
126,"TRUE","3","male",12,1,0,11.2417,"C","Master"
127,"FALSE","3","male",32.3680904522613,0,0,7.75,"Q","Mr"
128,"TRUE","3","male",24,0,0,7.1417,"S","Mr"
129,"TRUE","3","female",21.6620689655172,1,1,22.3583,"C","Miss"
130,"FALSE","3","male",45,0,0,6.975,"S","Mr"
131,"FALSE","3","male",33,0,0,7.8958,"C","Mr"
132,"FALSE","3","male",20,0,0,7.05,"S","Mr"
133,"FALSE","3","female",47,1,0,14.5,"S","Mrs"
134,"TRUE","2","female",29,1,0,26,"S","Mrs"
135,"FALSE","2","male",25,0,0,13,"S","Mr"
136,"FALSE","2","male",23,0,0,15.0458,"C","Mr"
137,"TRUE","1","female",19,0,2,26.2833,"S","Miss"
138,"FALSE","1","male",37,1,0,53.1,"S","Mr"
139,"FALSE","3","male",16,0,0,9.2167,"S","Mr"
140,"FALSE","1","male",24,0,0,79.2,"C","Mr"
141,"FALSE","3","female",35.6542056074766,0,2,15.2458,"C","Mrs"
142,"TRUE","3","female",22,0,0,7.75,"S","Miss"
143,"TRUE","3","female",24,1,0,15.85,"S","Mrs"
144,"FALSE","3","male",19,0,0,6.75,"Q","Mr"
145,"FALSE","2","male",18,0,0,11.5,"S","Mr"
146,"FALSE","2","male",19,1,1,36.75,"S","Mr"
147,"TRUE","3","male",27,0,0,7.7958,"S","Mr"
148,"FALSE","3","female",9,2,2,34.375,"S","Miss"
149,"FALSE","2","male",36.5,0,2,26,"S","Mr"
150,"FALSE","2","male",42,0,0,13,"S","Mr"
151,"FALSE","2","male",51,0,0,12.525,"S","Mr"
152,"TRUE","1","female",22,1,0,66.6,"S","Mrs"
153,"FALSE","3","male",55.5,0,0,8.05,"S","Mr"
154,"FALSE","3","male",40.5,0,2,14.5,"S","Mr"
155,"FALSE","3","male",32.3680904522613,0,0,7.3125,"S","Mr"
156,"FALSE","1","male",51,0,1,61.3792,"C","Mr"
157,"TRUE","3","female",16,0,0,7.7333,"Q","Miss"
158,"FALSE","3","male",30,0,0,8.05,"S","Mr"
159,"FALSE","3","male",32.3680904522613,0,0,8.6625,"S","Mr"
160,"FALSE","3","male",4.57416666666667,8,2,69.55,"S","Master"
161,"FALSE","3","male",44,0,1,16.1,"S","Mr"
162,"TRUE","2","female",40,0,0,15.75,"S","Mrs"
163,"FALSE","3","male",26,0,0,7.775,"S","Mr"
164,"FALSE","3","male",17,0,0,8.6625,"S","Mr"
165,"FALSE","3","male",1,4,1,39.6875,"S","Master"
166,"TRUE","3","male",9,0,2,20.525,"S","Master"
167,"TRUE","1","female",35.6542056074766,0,1,55,"S","Mrs"
168,"FALSE","3","female",45,1,4,27.9,"S","Mrs"
169,"FALSE","1","male",32.3680904522613,0,0,25.925,"S","Mr"
170,"FALSE","3","male",28,0,0,56.4958,"S","Mr"
171,"FALSE","1","male",61,0,0,33.5,"S","Mr"
172,"FALSE","3","male",4,4,1,29.125,"Q","Master"
173,"TRUE","3","female",1,1,1,11.1333,"S","Miss"
174,"FALSE","3","male",21,0,0,7.925,"S","Mr"
175,"FALSE","1","male",56,0,0,30.6958,"C","Mr"
176,"FALSE","3","male",18,1,1,7.8542,"S","Mr"
177,"FALSE","3","male",4.57416666666667,3,1,25.4667,"S","Master"
178,"FALSE","1","female",50,0,0,28.7125,"C","Miss"
179,"FALSE","2","male",30,0,0,13,"S","Mr"
180,"FALSE","3","male",36,0,0,0,"S","Mr"
181,"FALSE","3","female",21.6620689655172,8,2,69.55,"S","Miss"
182,"FALSE","2","male",32.3680904522613,0,0,15.05,"C","Mr"
183,"FALSE","3","male",9,4,2,31.3875,"S","Master"
184,"TRUE","2","male",1,2,1,39,"S","Master"
185,"TRUE","3","female",4,0,2,22.025,"S","Miss"
186,"FALSE","1","male",32.3680904522613,0,0,50,"S","Mr"
187,"TRUE","3","female",35.6542056074766,1,0,15.5,"Q","Mrs"
188,"TRUE","1","male",45,0,0,26.55,"S","Mr"
189,"FALSE","3","male",40,1,1,15.5,"Q","Mr"
190,"FALSE","3","male",36,0,0,7.8958,"S","Mr"
191,"TRUE","2","female",32,0,0,13,"S","Mrs"
192,"FALSE","2","male",19,0,0,13,"S","Mr"
193,"TRUE","3","female",19,1,0,7.8542,"S","Miss"
194,"TRUE","2","male",3,1,1,26,"S","Master"
195,"TRUE","1","female",44,0,0,27.7208,"C","Mrs"
196,"TRUE","1","female",58,0,0,146.5208,"C","Miss"
197,"FALSE","3","male",32.3680904522613,0,0,7.75,"Q","Mr"
198,"FALSE","3","male",42,0,1,8.4042,"S","Mr"
199,"TRUE","3","female",21.6620689655172,0,0,7.75,"Q","Miss"
200,"FALSE","2","female",24,0,0,13,"S","Miss"
201,"FALSE","3","male",28,0,0,9.5,"S","Mr"
202,"FALSE","3","male",32.3680904522613,8,2,69.55,"S","Mr"
203,"FALSE","3","male",34,0,0,6.4958,"S","Mr"
204,"FALSE","3","male",45.5,0,0,7.225,"C","Mr"
205,"TRUE","3","male",18,0,0,8.05,"S","Mr"
206,"FALSE","3","female",2,0,1,10.4625,"S","Miss"
207,"FALSE","3","male",32,1,0,15.85,"S","Mr"
208,"TRUE","3","male",26,0,0,18.7875,"C","Mr"
209,"TRUE","3","female",16,0,0,7.75,"Q","Miss"
210,"TRUE","1","male",40,0,0,31,"C","Mr"
211,"FALSE","3","male",24,0,0,7.05,"S","Mr"
212,"TRUE","2","female",35,0,0,21,"S","Miss"
213,"FALSE","3","male",22,0,0,7.25,"S","Mr"
214,"FALSE","2","male",30,0,0,13,"S","Mr"
215,"FALSE","3","male",32.3680904522613,1,0,7.75,"Q","Mr"
216,"TRUE","1","female",31,1,0,113.275,"C","Miss"
217,"TRUE","3","female",27,0,0,7.925,"S","Miss"
218,"FALSE","2","male",42,1,0,27,"S","Mr"
219,"TRUE","1","female",32,0,0,76.2917,"C","Miss"
220,"FALSE","2","male",30,0,0,10.5,"S","Mr"
221,"TRUE","3","male",16,0,0,8.05,"S","Mr"
222,"FALSE","2","male",27,0,0,13,"S","Mr"
223,"FALSE","3","male",51,0,0,8.05,"S","Mr"
224,"FALSE","3","male",32.3680904522613,0,0,7.8958,"S","Mr"
225,"TRUE","1","male",38,1,0,90,"S","Mr"
226,"FALSE","3","male",22,0,0,9.35,"S","Mr"
227,"TRUE","2","male",19,0,0,10.5,"S","Mr"
228,"FALSE","3","male",20.5,0,0,7.25,"S","Mr"
229,"FALSE","2","male",18,0,0,13,"S","Mr"
230,"FALSE","3","female",21.6620689655172,3,1,25.4667,"S","Miss"
231,"TRUE","1","female",35,1,0,83.475,"S","Mrs"
232,"FALSE","3","male",29,0,0,7.775,"S","Mr"
233,"FALSE","2","male",59,0,0,13.5,"S","Mr"
234,"TRUE","3","female",5,4,2,31.3875,"S","Miss"
235,"FALSE","2","male",24,0,0,10.5,"S","Mr"
236,"FALSE","3","female",21.6620689655172,0,0,7.55,"S","Miss"
237,"FALSE","2","male",44,1,0,26,"S","Mr"
238,"TRUE","2","female",8,0,2,26.25,"S","Miss"
239,"FALSE","2","male",19,0,0,10.5,"S","Mr"
240,"FALSE","2","male",33,0,0,12.275,"S","Mr"
241,"FALSE","3","female",21.6620689655172,1,0,14.4542,"C","Miss"
242,"TRUE","3","female",21.6620689655172,1,0,15.5,"Q","Miss"
243,"FALSE","2","male",29,0,0,10.5,"S","Mr"
244,"FALSE","3","male",22,0,0,7.125,"S","Mr"
245,"FALSE","3","male",30,0,0,7.225,"C","Mr"
246,"FALSE","1","male",44,2,0,90,"Q","Mr"
247,"FALSE","3","female",25,0,0,7.775,"S","Miss"
248,"TRUE","2","female",24,0,2,14.5,"S","Mrs"
249,"TRUE","1","male",37,1,1,52.5542,"S","Mr"
250,"FALSE","2","male",54,1,0,26,"S","Mr"
251,"FALSE","3","male",32.3680904522613,0,0,7.25,"S","Mr"
252,"FALSE","3","female",29,1,1,10.4625,"S","Mrs"
253,"FALSE","1","male",62,0,0,26.55,"S","Mr"
